126:[G, D, D, B, G, H, G, G, B, D, H, D, B, H, D, H, H, H, H, G]
287:[G, G, B, G, D, B, H, D, H, B, G, H, D, G, B, D, B, D, D, H]
132:[D, D, B, D, G, B, G, G, D, H, H, B, H, G, B, B, D, D, H, D]
541:[H, G, D, B, B, H, H, H, D, B, B, D, B, G, H, G, G, B, D, G]
776:[H, B, D, H, G, D, G, H, B, H, B, G, G, B, D, G, D, H, H, B]
301:[H, B, H, G, G, B, H, H, B, H, B, D, D, D, G, D, G, D, B, B]
562:[D, B, D, H, H, D, G, H, B, B, B, H, B, D, H, G, B, H, D, B]
808:[B, D, B, B, D, G, D, D, H, H, B, H, G, G, G, H, B, G, B, H]
683:[D, B, D, D, B, H, G, H, H, B, G, G, H, G, B, D, G, D, H, D]
864:[H, G, D, B, B, H, H, H, D, B, B, D, B, G, H, G, G, B, D, G]
6:[B, B, D, G, G, B, B, B, H, H, D, H, B, B, H, H, G, B, B, B]
710:[H, B, G, H, D, D, H, H, D, G, B, G, D, H, G, G, G, B, D, G]
832:[H, G, G, H, B, D, H, D, D, B, B, G, B, H, G, B, D, H, H, G]
379:[H, B, D, H, G, D, G, H, B, H, B, G, G, B, D, G, D, G, H, B]
700:[H, G, D, B, B, H, H, H, D, B, B, B, H, G, H, G, G, B, D, G]
888:[G, G, G, G, B, B, H, H, H, D, B, H, B, H, D, B, H, G, D, D]
300:[H, G, D, G, G, B, H, G, D, D, D, B, B, D, H, B, B, H, G, H]
457:[B, D, H, B, H, D, B, D, H, G, B, H, D, B, G, H, B, G, B, D]
861:[B, G, B, B, D, G, B, B, D, G, G, H, H, H, H, B, D, G, B, B]
773:[G, D, B, B, D, G, B, B, D, G, G, H, H, H, D, B, H, G, B, B]
343:[B, D, H, H, D, B, B, D, G, G, G, H, B, H, H, B, B, D, D, D]
19:[H, D, G, D, H, H, H, H, B, G, D, B, D, H, B, B, H, B, H, H]
160:[B, D, D, D, B, B, B, D, H, H, H, G, B, H, G, G, H, B, B, H]
990:[B, D, B, H, H, G, H, H, B, B, H, D, B, G, D, G, G, G, B, B]
318:[G, G, G, G, B, B, H, H, D, B, B, H, G, D, D, B, H, G, D, D]
692:[B, D, B, G, B, H, B, B, H, B, D, H, G, H, D, D, G, H, G, B]
851:[B, D, G, D, B, D, H, D, G, G, H, G, D, B, G, D, H, B, G, G]
64:[G, B, D, H, D, H, D, H, B, B, G, B, H, H, D, H, G, B, H, B]
80:[D, D, H, G, D, B, D, D, B, B, G, D, H, H, B, H, H, B, H, G]
694:[G, G, H, H, D, D, D, B, H, B, B, H, H, G, D, B, G, D, H, B]
737:[H, B, B, G, G, D, G, G, D, D, D, B, B, H, H, H, D, G, G, G]
334:[G, B, D, B, G, G, H, G, H, B, H, D, B, H, G, D, G, B, H, B]
61:[D, H, G, H, G, G, D, B, B, D, D, H, G, D, G, B, B, H, H, G]
282:[D, B, H, B, B, D, H, D, B, B, H, H, H, G, B, D, H, G, G, D]
423:[G, B, D, H, H, D, D, H, B, B, G, D, B, H, G, G, D, G, H, H]
326:[D, B, H, B, B, D, B, D, G, D, H, H, G, B, H, D, H, G, G, D]
642:[H, H, D, G, D, G, G, H, D, B, G, D, H, G, G, D, B, D, G, B]
159:[H, D, H, H, D, B, B, H, H, G, B, B, G, G, G, D, D, B, G, D]
341:[H, B, H, H, G, B, D, D, H, B, B, B, G, B, D, G, D, G, D, H]
408:[B, D, H, B, B, H, D, D, G, B, D, H, H, G, G, B, G, D, B, H]
829:[H, H, H, D, G, B, B, B, G, G, B, H, H, H, B, B, D, D, H, H]
195:[B, H, B, G, H, G, G, B, D, G, H, B, D, H, G, D, B, H, D, G]
333:[D, G, B, B, D, B, B, H, H, B, H, G, B, G, H, B, B, H, B, G]
458:[H, D, H, B, H, G, B, G, G, D, H, B, B, D, B, H, D, H, H, G]
8:[B, H, G, D, H, G, H, D, G, B, H, D, B, G, D, D, B, D, B, B]
328:[D, G, B, B, B, B, B, H, H, B, H, G, H, H, B, B, B, D, D, G]
543:[G, G, G, D, B, D, B, D, G, H, G, D, G, G, D, D, D, B, H, H]
228:[H, B, G, B, B, B, B, H, H, H, D, G, D, H, B, H, B, G, D, G]
463:[B, B, B, G, G, H, G, D, H, G, H, H, B, D, B, G, D, H, G, D]
779:[B, G, G, H, H, B, G, D, D, D, H, B, H, B, B, G, B, G, D, H]
810:[D, D, D, B, H, G, G, D, B, D, B, H, B, G, G, G, H, H, D, B]
557:[B, G, H, D, H, G, H, D, D, B, H, D, G, G, B, D, B, D, B, G]
461:[D, G, B, H, D, D, D, B, B, G, G, H, G, H, B, B, B, H, H, D]
68:[H, B, B, G, G, B, G, H, D, H, B, D, B, G, D, H, G, D, H, G]
41:[H, G, H, D, B, B, H, B, B, H, D, G, H, B, H, B, D, G, G, G]
907:[H, G, H, D, B, B, H, G, B, H, D, G, H, D, D, B, D, G, G, G]
567:[H, G, H, D, B, B, H, G, B, H, D, G, D, D, B, B, D, G, G, G]
572:[B, D, B, B, G, G, B, D, D, G, H, D, D, G, H, H, G, G, B, B]
985:[D, B, G, G, B, G, G, H, B, H, H, B, H, B, B, D, H, D, B, D]
487:[D, B, G, D, H, D, D, G, B, D, H, G, B, D, B, B, G, H, H, H]
54:[H, H, D, G, G, G, G, D, D, D, G, D, G, B, G, B, H, H, G, B]
145:[G, G, G, B, B, B, H, B, D, G, D, D, H, B, H, G, H, H, G, B]
47:[B, G, B, G, B, H, G, B, D, H, H, D, G, G, D, B, D, D, G, D]
581:[B, H, G, G, B, H, G, D, B, B, D, H, G, G, D, B, D, D, H, D]
966:[B, D, B, G, B, G, B, H, B, D, H, G, H, H, H, B, D, D, B, G]
984:[H, G, G, G, D, G, H, B, D, D, D, B, H, G, G, D, G, B, B, H]
848:[H, B, H, B, G, G, G, D, D, G, G, H, B, H, B, H, D, D, G, B]
387:[G, B, H, H, G, B, G, D, D, D, D, B, H, B, B, G, G, D, G, D]
909:[H, G, H, B, H, D, G, D, D, G, B, H, B, H, B, G, D, D, G, B]
319:[H, G, H, D, B, B, B, G, H, D, D, G, B, G, G, D, H, B, D, G]
957:[G, G, G, H, B, B, D, B, D, D, G, D, H, G, H, B, D, H, G, B]
576:[B, B, G, B, G, D, B, H, H, D, D, B, H, H, H, D, G, B, D, H]
216:[H, G, G, D, B, H, H, B, D, D, D, B, B, G, G, G, G, H, B, H]
477:[H, D, H, D, G, B, B, G, H, B, D, B, D, G, G, G, B, H, H, H]
215:[H, H, H, D, G, G, B, D, H, G, D, B, B, G, B, G, D, H, D, B]
933:[H, G, H, D, D, B, G, B, H, D, G, D, G, D, G, B, H, B, H, B]
498:[G, G, G, D, B, B, D, G, B, G, D, H, D, B, H, G, B, H, G, B]
259:[D, G, D, D, H, B, D, H, B, H, G, B, G, G, B, H, G, B, D, B]
453:[G, G, B, H, H, B, G, B, D, G, D, B, D, D, D, H, G, B, D, B]
722:[G, D, G, G, H, D, H, B, G, D, B, G, B, D, H, H, G, B, H, D]
530:[D, H, H, G, B, G, B, H, G, D, B, B, G, D, H, H, D, H, G, D]
639:[B, D, D, D, D, B, D, G, G, H, H, D, G, B, G, B, D, G, H, H]
570:[B, D, G, D, B, D, D, G, H, D, B, G, D, B, G, H, H, H, G, G]
38:[H, G, D, B, H, H, H, D, D, B, B, B, B, H, H, G, B, G, D, G]
913:[B, B, D, B, G, D, B, H, B, H, H, B, G, H, B, D, H, B, B, G]
229:[H, B, H, G, D, D, H, D, G, D, B, G, B, H, B, H, G, G, D, G]
397:[D, H, H, B, B, G, G, D, G, B, D, D, G, G, G, B, D, H, D, H]
233:[D, H, H, B, B, G, G, D, G, H, B, D, G, B, G, B, D, H, D, H]
965:[H, B, H, G, D, D, H, D, G, D, B, G, B, H, B, H, G, G, D, G]
967:[G, G, G, H, B, B, D, H, G, D, B, H, B, D, B, H, B, H, G, B]
106:[B, G, H, B, H, G, G, B, B, D, H, H, B, B, H, B, H, G, B, B]
600:[B, G, B, B, B, D, B, D, H, G, B, D, G, G, D, H, H, D, B, G]
324:[B, D, B, B, H, D, D, B, H, B, G, H, G, G, G, D, B, G, H, H]
550:[H, G, H, B, H, D, G, D, G, B, B, G, D, G, D, B, D, G, D, H]
771:[D, B, D, B, B, H, D, G, D, B, H, H, H, B, G, H, D, B, H, G]
668:[B, H, B, B, D, D, D, G, B, D, G, H, G, H, G, H, D, B, G, H]
654:[H, D, D, B, G, D, D, G, H, G, B, D, D, H, B, B, G, H, G, H]
32:[G, G, G, D, B, G, H, B, B, H, H, B, D, D, H, B, G, B, H, H]
402:[B, G, H, H, B, G, G, B, D, G, H, D, B, H, B, H, D, D, G, B]
821:[H, D, H, D, G, G, H, D, D, G, D, G, G, D, D, B, G, G, D, G]
90:[G, B, D, B, B, B, G, H, D, H, B, D, B, G, D, H, G, D, H, G]
495:[B, G, H, G, B, G, D, B, H, H, G, D, D, B, B, D, G, G, D, D]
855:[H, G, G, D, H, H, D, G, B, B, H, H, G, D, D, D, D, B, H, B]
555:[H, H, D, G, B, D, B, H, H, B, G, B, D, H, D, G, B, B, B, H]
377:[B, G, B, B, G, G, H, H, D, B, H, D, B, H, H, B, B, H, H, G]
173:[H, H, D, G, G, B, H, B, D, G, H, B, B, H, D, B, D, H, B, G]
686:[H, H, G, D, G, B, D, B, B, H, D, B, H, G, D, D, B, G, D, G]
883:[B, H, H, G, G, H, D, B, H, B, H, G, D, B, H, B, G, H, B, H]
307:[B, D, H, B, D, D, H, G, G, D, G, G, G, D, G, B, D, D, G, H]
811:[H, D, D, B, H, D, G, B, H, D, B, G, H, B, G, H, G, B, H, D]
239:[H, D, D, D, D, D, G, G, B, G, D, G, B, H, G, D, G, B, D, G]
518:[H, G, B, H, G, G, B, D, B, H, G, D, H, D, G, G, B, D, B, B]
134:[B, H, H, D, G, H, B, D, G, D, G, B, G, B, B, G, H, H, D, D]
491:[H, G, G, B, B, G, H, B, H, B, B, H, B, D, B, H, G, H, H, B]
1000:[G, G, H, D, G, H, D, G, B, B, D, B, H, G, B, B, H, H, B, H]
394:[D, H, B, H, G, H, B, D, B, B, G, D, D, G, G, G, B, H, H, B]
490:[B, H, G, B, G, G, B, H, H, D, D, B, D, D, B, G, H, H, H, B]
475:[D, H, B, H, G, H, B, G, B, B, G, D, D, D, G, G, H, G, H, B]
403:[H, H, B, D, G, H, B, H, B, B, G, D, D, G, G, B, D, H, H, B]
910:[H, H, D, B, H, D, B, G, G, B, H, B, H, D, D, G, G, D, B, B]
172:[H, H, B, H, B, H, B, H, B, B, G, D, D, G, G, B, D, H, H, B]
292:[G, H, D, G, G, H, D, B, B, B, G, D, D, D, G, G, D, D, H, B]
804:[B, H, H, G, D, H, G, D, B, B, D, H, G, G, D, B, D, G, H, D]
186:[H, H, B, H, D, B, B, G, H, G, B, H, B, H, H, B, B, D, D, H]
702:[D, D, G, D, B, D, G, D, B, H, H, G, D, B, G, D, H, H, G, D]
839:[B, H, H, H, G, H, B, D, D, B, G, D, D, G, G, G, D, H, H, B]
5:[D, D, H, H, B, D, H, G, B, B, B, B, H, D, B, G, H, H, B, H]
853:[B, B, B, D, G, B, D, G, G, G, H, D, G, B, D, G, D, G, H, H]
73:[H, B, H, D, D, D, G, B, D, B, B, H, H, G, D, B, H, G, G, D]
198:[B, D, H, D, D, D, H, B, B, B, H, B, G, G, D, H, G, D, G, G]
638:[H, G, B, G, G, G, H, B, B, H, B, D, B, B, H, H, H, B, B, D]
49:[B, D, G, G, G, G, B, B, H, D, B, H, D, H, G, B, H, H, H, B]
99:[H, G, G, B, H, H, D, B, H, B, D, G, G, B, H, B, H, D, D, H]
142:[G, D, H, D, G, H, B, D, B, H, H, B, D, H, B, G, B, H, G, H]
538:[G, H, G, H, G, G, D, B, D, D, D, H, G, B, G, D, B, H, H, B]
616:[D, G, G, B, G, G, H, B, H, B, B, H, B, D, B, H, H, H, H, B]
13:[D, G, D, D, G, G, G, B, H, H, G, B, H, B, H, B, B, H, H, B]
14:[D, D, B, B, H, B, G, B, D, H, H, B, G, H, D, B, B, G, D, G]
22:[D, H, D, B, H, G, B, D, G, G, D, H, B, B, D, B, B, G, D, H]
36:[D, G, D, D, G, D, H, B, B, H, B, B, B, G, D, G, D, G, D, G]
58:[D, B, H, G, G, H, G, D, G, D, B, B, B, G, B, H, H, H, B, D]
60:[G, D, G, H, G, B, D, G, H, D, B, H, G, B, B, H, D, D, D, B]
63:[D, G, G, G, H, D, G, B, D, G, D, G, H, B, B, H, H, B, H, D]
100:[G, H, B, G, B, B, H, B, D, G, B, D, H, B, H, B, H, B, G, D]
117:[G, B, G, D, H, G, H, B, D, G, B, D, B, G, D, H, H, G, B, D]
138:[G, G, D, G, B, B, D, H, B, B, G, D, G, D, H, B, G, H, D, D]
171:[G, H, G, D, G, B, D, B, G, H, D, B, H, H, G, B, D, G, B, D]
201:[G, B, G, B, H, B, H, B, B, D, G, D, G, H, D, B, H, G, B, H]
219:[G, G, H, B, H, D, B, D, G, G, D, H, G, B, D, D, D, B, H, H]
224:[G, H, G, D, G, B, B, H, H, B, B, B, B, H, H, H, H, B, B, D]
247:[G, G, D, G, B, D, G, B, H, H, B, B, B, H, D, G, D, G, B, H]
249:[G, G, D, B, B, D, G, H, G, H, B, H, H, D, G, B, H, D, B, B]
250:[G, G, D, G, D, G, H, B, H, B, H, B, H, B, D, B, H, H, B, G]
266:[D, G, G, G, B, H, H, B, B, D, H, G, H, D, G, B, D, H, G, B]
274:[G, B, G, B, B, H, H, D, B, D, G, D, G, B, G, H, B, D, H, G]
304:[G, G, B, D, B, G, D, B, G, D, G, H, B, H, B, H, H, B, B, H]
308:[D, D, H, B, G, D, G, G, D, D, H, B, H, B, B, B, H, B, H, G]
309:[D, B, B, B, H, B, H, H, D, H, G, B, B, B, D, G, D, G, H, H]
323:[D, H, D, B, H, B, B, H, B, H, H, B, G, H, B, D, B, H, H, G]
360:[D, G, G, H, G, D, G, D, B, G, H, B, D, G, B, H, H, B, H, B]
373:[D, B, B, B, H, G, G, G, H, H, B, B, H, H, B, H, H, B, B, B]
391:[G, D, D, D, B, H, G, G, G, B, B, D, G, H, B, H, B, H, G, B]
393:[D, D, H, G, D, G, D, B, G, D, G, H, D, B, B, B, G, H, D, B]
404:[G, G, B, H, H, B, D, G, B, H, H, B, H, D, B, H, G, D, B, G]
419:[G, B, B, G, B, D, G, H, B, D, H, G, B, H, B, D, G, H, D, D]
441:[D, H, B, D, G, H, D, B, B, H, G, D, B, G, B, D, G, H, H, D]
465:[D, H, D, B, B, H, H, B, B, B, B, H, H, H, G, B, D, B, B, H]
484:[G, D, G, H, G, B, D, G, D, B, G, B, H, H, B, B, D, H, G, H]
493:[D, D, B, B, B, G, H, B, D, G, D, H, B, H, H, H, B, H, G, D]
501:[D, B, B, B, H, D, H, H, G, G, G, G, B, B, D, G, D, G, B, D]
505:[G, G, H, B, H, D, G, D, G, D, G, B, H, D, G, B, B, D, B, G]
510:[D, G, D, H, D, G, D, B, B, H, G, B, B, H, D, H, B, B, G, D]
512:[D, H, B, G, G, B, B, B, H, D, D, D, G, D, G, H, D, B, B, G]
519:[D, D, B, B, B, H, H, G, D, B, B, G, H, H, D, G, D, B, H, B]
549:[G, H, B, G, D, B, G, B, B, H, D, H, B, G, H, D, H, G, B, B]
551:[G, D, D, H, D, G, B, G, G, B, B, G, H, D, H, H, B, G, B, D]
560:[D, B, B, D, B, H, G, B, D, G, D, G, H, G, G, G, H, H, D, G]
566:[G, B, G, H, H, D, G, B, B, D, H, D, G, G, D, G, B, H, D, H]
575:[G, H, G, B, B, H, D, D, D, H, D, B, G, H, D, B, B, G, B, G]
586:[G, G, B, H, H, D, G, B, H, D, B, B, B, G, B, H, B, H, H, D]
590:[D, G, D, D, G, B, H, D, B, H, B, H, B, B, B, H, H, G, H, D]
605:[D, D, G, B, B, H, H, D, G, G, G, G, B, D, B, G, B, H, B, H]
614:[G, G, H, D, G, B, H, D, B, B, G, B, H, H, H, D, B, D, D, B]
615:[G, B, H, D, G, B, B, H, B, G, H, B, H, B, D, H, B, G, B, H]
629:[G, D, D, G, G, G, H, D, G, D, G, B, H, B, B, H, B, D, H, D]
644:[G, B, G, H, D, D, D, D, H, B, H, B, G, B, H, B, H, D, G, B]
658:[D, D, H, G, B, H, D, B, B, B, G, B, D, H, G, H, B, B, D, H]
673:[D, D, B, H, H, B, G, B, B, G, D, D, B, H, H, H, G, B, D, B]
717:[D, B, D, H, B, G, B, G, G, B, H, H, H, G, H, B, B, B, H, B]
741:[G, H, B, G, D, H, G, B, B, H, B, B, B, H, D, G, H, B, D, B]
784:[G, D, G, G, H, D, B, H, G, B, D, B, G, H, B, B, H, D, G, B]
786:[D, H, D, B, B, H, B, B, H, B, H, H, H, B, B, H, B, B, H, B]
793:[G, H, B, H, G, B, D, G, H, D, B, H, G, B, H, D, B, H, B, G]
813:[G, D, G, D, D, H, D, B, G, G, G, G, B, H, D, H, B, H, G, B]
830:[G, G, B, D, G, D, B, G, D, H, G, D, H, G, B, B, B, H, H, H]
831:[G, G, D, H, B, G, B, H, H, D, G, B, D, G, D, D, D, B, B, B]
869:[G, H, B, D, D, G, G, B, H, D, D, B, B, D, H, H, G, H, D, B]
893:[D, D, G, H, B, H, B, B, B, G, D, H, D, G, H, D, G, H, D, B]
912:[D, H, B, D, B, G, D, H, G, B, H, D, B, B, B, G, H, D, G, D]
918:[D, H, D, B, B, G, D, B, B, G, D, H, H, B, B, H, G, H, D, G]
919:[D, H, D, B, B, G, D, H, B, H, B, B, B, H, B, H, H, H, H, G]
962:[G, G, B, H, D, H, B, D, G, B, G, H, D, B, B, G, H, D, G, D]
970:[D, D, B, B, B, G, H, H, D, B, G, D, G, D, B, H, H, B, G, B]
976:[G, H, B, G, H, B, B, H, B, D, G, H, B, D, B, D, D, B, H, D]
981:[D, B, B, B, H, G, D, H, H, B, H, D, G, D, H, B, B, B, B, G]
982:[D, B, B, H, B, D, H, G, H, D, G, B, D, G, H, B, B, B, H, H]
999:[D, H, D, B, B, B, H, B, G, B, H, B, D, H, H, H, G, D, H, G]
428:[B, B, B, B, B, G, G, D, D, G, G, H, B, H, B, D, G, D, G, D]
261:[G, H, G, B, B, D, H, D, G, H, G, B, H, D, B, D, D, B, B, D]
547:[B, G, G, H, G, B, D, H, D, B, D, G, B, G, D, H, H, G, G, D]
272:[D, D, B, H, B, G, B, H, H, D, B, H, H, G, B, H, D, G, D, G]
489:[G, B, G, D, B, D, G, G, H, H, D, D, G, G, B, B, H, H, D, D]
975:[G, H, G, H, G, B, D, H, G, D, B, H, B, B, B, D, G, H, G, B]
211:[D, B, H, D, B, G, H, B, D, B, H, G, B, D, H, B, H, G, H, H]
129:[G, G, D, B, G, H, B, H, B, B, D, G, D, G, D, G, D, H, H, G]
996:[B, G, G, H, G, B, D, H, G, D, B, H, D, B, B, D, G, H, G, B]
807:[G, G, H, B, D, B, H, B, B, H, H, H, B, B, H, G, B, D, G, D]
474:[D, B, H, H, D, B, G, D, B, B, G, G, G, D, D, B, D, G, D, H]
442:[D, B, D, G, H, B, D, H, G, B, B, H, H, H, D, B, H, B, G, G]
85:[D, B, D, G, H, B, D, H, G, B, B, H, H, H, B, B, H, G, G, G]
140:[G, G, B, B, G, H, B, H, B, H, B, B, H, D, D, D, B, H, H, B]
464:[D, G, D, G, D, D, B, G, H, B, D, H, G, D, G, G, G, B, B, B]
528:[G, H, B, B, B, D, G, D, G, G, H, H, D, B, B, B, H, G, H, D]
941:[G, H, G, D, B, H, B, B, H, B, G, D, H, G, H, B, B, D, G, D]
663:[G, B, H, B, H, B, H, D, D, H, B, B, B, H, D, H, G, G, D, B]
546:[G, G, D, B, H, D, D, D, H, B, B, H, B, H, G, G, D, G, D, G]
478:[D, H, B, H, B, D, B, B, B, H, H, H, B, G, H, D, G, B, H, B]
632:[B, D, D, B, D, G, B, H, D, B, G, H, H, G, D, H, G, G, G, B]
7:[B, B, G, G, G, D, H, H, G, H, D, B, D, G, B, D, D, G, H, G]
392:[D, G, D, B, B, H, B, B, D, H, G, G, D, H, D, H, H, G, B, B]
697:[H, B, D, D, D, G, D, G, G, H, D, G, G, D, G, D, G, B, B, B]
760:[D, B, H, B, B, G, D, B, H, D, G, D, B, H, H, G, B, D, G, H]
279:[H, B, D, D, D, B, B, B, H, H, G, D, G, H, G, G, G, D, D, D]
356:[D, D, B, H, D, B, H, B, G, H, G, D, G, G, G, D, G, B, D, B]
246:[G, B, G, B, D, G, D, B, H, G, B, H, H, D, B, B, G, D, H, D]
743:[G, G, B, B, D, G, H, B, D, D, G, H, G, H, H, B, D, B, B, B]
256:[B, G, G, B, G, D, B, G, H, D, D, H, H, B, G, D, B, H, G, D]
473:[D, G, D, D, G, B, D, B, G, H, D, G, H, B, H, D, B, G, H, B]
315:[B, D, H, D, D, B, H, B, H, H, G, D, G, B, G, G, G, D, B, D]
948:[G, G, H, B, D, B, H, G, D, B, H, D, D, G, D, B, B, B, H, B]
875:[G, G, D, G, G, D, G, D, D, D, H, B, G, D, D, B, B, H, H, B]
89:[G, G, G, H, G, B, D, H, G, D, B, H, B, H, B, H, B, H, G, B]
814:[B, B, B, B, B, H, G, D, H, H, G, H, B, B, G, B, D, D, H, B]
285:[B, G, G, B, G, D, B, G, D, G, H, H, H, B, D, D, B, H, B, D]
376:[H, D, D, B, D, G, B, B, H, B, H, H, D, H, B, G, G, H, B, H]
415:[H, D, D, B, D, G, B, B, H, B, H, H, D, H, B, G, B, H, B, H]
944:[D, G, G, H, G, B, B, D, G, B, D, H, B, H, G, B, B, D, H, G]
544:[B, G, B, B, B, G, D, H, D, H, B, H, B, H, H, B, B, G, H, B]
338:[D, G, G, D, G, B, G, H, D, G, B, B, H, B, B, D, G, D, H, H]
838:[G, D, G, B, H, B, B, D, G, H, H, B, H, G, H, B, H, B, D, B]
932:[B, B, B, B, B, D, D, H, B, G, G, H, D, B, D, G, G, H, D, H]
363:[G, D, H, H, H, B, G, H, D, B, D, B, D, H, H, B, H, B, H, B]
611:[G, D, D, B, B, D, G, D, G, D, G, D, B, H, G, H, B, B, H, D]
733:[G, H, B, G, D, D, G, H, B, H, B, D, D, G, G, B, H, D, D, B]
153:[D, G, G, D, G, D, D, G, G, G, B, B, H, D, H, B, B, H, H, B]
716:[H, G, G, H, B, D, H, G, D, D, B, D, D, H, B, B, G, H, G, H]
621:[B, H, H, H, B, H, B, G, G, B, D, D, H, G, B, D, G, G, B, D]
406:[D, G, H, H, G, B, D, D, B, B, D, H, B, H, G, B, B, D, H, G]
436:[B, G, G, G, D, B, H, H, H, B, B, D, G, H, D, B, G, G, D, D]
812:[B, G, G, G, B, H, H, D, B, B, H, D, B, H, D, H, G, G, G, D]
751:[B, B, B, B, H, G, H, H, D, D, B, G, B, H, D, H, B, H, B, H]
690:[H, B, H, H, G, D, D, G, B, G, H, D, G, B, D, G, D, G, D, G]
42:[H, D, H, D, G, G, D, G, D, B, B, B, H, H, B, H, D, G, G, G]
827:[H, G, H, B, D, G, D, H, G, G, B, H, B, B, B, H, B, H, H, B]
846:[G, G, G, B, H, D, D, D, H, D, G, B, B, B, B, D, H, G, H, H]
513:[D, H, H, D, B, G, G, D, D, B, B, H, H, G, D, B, H, G, G, D]
494:[G, G, G, D, D, D, G, D, D, B, H, B, G, D, B, H, B, H, B, B]
936:[H, H, B, D, B, H, D, G, H, B, B, D, H, G, B, B, H, H, D, B]
213:[H, H, B, G, D, D, B, H, H, G, D, G, G, G, D, D, G, B, G, D]
596:[H, H, D, B, H, D, G, G, G, D, D, B, G, D, D, G, G, H, B, D]
