c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, G, B, H, G, G, B, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, G, B, H, D, B, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, B, D, B, D, G, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, G, G, H, B, D, G, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, D, B, G, B, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, D, D, G, H, D, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, H, B, G, G, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, H, B, G, G, D, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, D, H, G, G, H, D, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, B, B, B, H, H, H, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, H, D, B, H, G, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, B, D, H, B, H, D, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, H, B, G, D, D, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, G, H, B, G, G, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, G, H, D, H, B, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, H, H, G, H, H, H, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, H, G, H, H, H, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, B, H, H, D, B, B, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, G, B, G, G, D, G, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, G, B, G, G, B, G, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, G, D, D, D, D, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, G, G, G, H, G, G, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, B, H, B, D, H, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, B, D, H, G, D, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, H, D, H, G, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, B, H, H, H, B, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, H, D, H, H, B, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, H, G, D, D, G, H, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, B, H, D, G, B, D, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, H, D, G, B, D, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, G, G, B, G, G, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, B, G, B, D, D, D, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, G, B, D, D, D, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, G, B, G, H, G, G, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, D, D, H, D, H, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, H, D, D, D, H, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, D, H, B, H, B, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, D, G, G, H, D, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, B, G, G, H, H, H, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, B, H, G, B, D, B, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, B, H, D, B, D, B, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, G, G, G, D, D, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, D, B, B, B, G, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, D, B, H, D, H, D, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, G, H, B, D, G, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, G, G, D, H, G, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, H, B, D, H, G, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, B, D, H, H, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, B, D, D, B, H, B, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, G, G, H, G, H, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, D, B, D, B, B, D, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, G, D, H, B, H, D, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, B, H, G, G, G, G, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, D, D, D, B, B, H, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, B, H, H, G, B, B, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, H, D, B, G, G, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, B, H, G, D, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, H, D, B, H, B, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, B, D, B, H, B, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, G, G, G, B, G, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, B, G, G, D, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, D, D, H, B, G, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, D, D, H, B, G, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, H, G, G, G, G, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, G, G, B, G, H, D, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, H, D, G, D, G, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, G, G, B, B, D, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, H, G, G, H, B, H, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, G, B, G, G, H, B, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, H, G, B, H, G, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, D, G, B, D, B, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, B, G, B, B, D, B, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, H, G, D, D, B, H, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, B, H, D, G, G, B, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, H, G, D, H, D, D, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, G, H, G, D, B, G, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, G, D, B, B, D, D, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, D, D, G, G, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, H, B, H, B, G, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, B, G, G, B, D, D, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, D, D, B, G, G, H, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, H, D, G, D, H, G, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, D, H, G, H, D, D, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, D, D, B, D, D, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, B, B, H, G, G, G, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, D, H, G, B, D, B, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, H, H, G, H, D, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, H, B, G, B, B, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, B, G, H, B, B, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, H, B, H, H, D, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, D, D, H, B, H, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, B, G, D, G, D, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, H, B, D, G, B, B, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, H, B, D, G, B, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, B, D, G, D, D, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, H, H, G, G, H, H, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, D, G, D, B, G, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, G, B, H, B, D, D, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, G, D, G, H, D, D, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, H, G, G, G, H, H, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, B, D, G, D, B, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, G, B, H, D, D, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, G, H, D, D, H, D, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, D, H, H, B, D, D, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, G, D, B, D, B, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, D, B, D, D, G, B, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, H, B, B, D, D, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, H, H, H, D, H, D, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, D, G, D, H, G, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, H, B, G, H, D, H, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, G, D, B, D, B, B, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, B, H, H, H, B, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, B, D, D, H, D, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, D, H, B, B, D, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, D, B, H, B, H, D, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, D, H, H, D, D, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, G, D, H, D, D, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, B, D, H, B, H, D, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, D, G, D, D, D, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, G, H, B, D, G, B, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, D, G, G, D, D, D, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, D, G, G, G, G, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, H, D, D, B, B, D, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, B, B, G, D, D, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, D, H, H, B, D, D, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, H, D, H, B, G, G, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, G, D, B, D, D, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, G, G, G, B, H, G, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, B, B, D, G, D, D, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, G, B, D, D, H, D, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, B, H, H, H, D, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, D, D, D, H, D, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, B, D, H, H, G, D, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, D, H, B, H, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, G, B, D, D, H, G, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, G, G, D, B, G, B, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, G, H, B, D, D, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, D, D, G, D, G, H, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, D, D, H, B, B, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, B, D, D, D, D, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, B, H, D, G, B, B, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, H, B, D, H, D, D, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, H, B, D, H, D, D, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, G, G, G, H, G, G, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, B, G, B, D, D, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, G, B, D, H, G, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, G, B, H, D, G, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, D, H, D, D, D, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, H, G, G, H, B, G, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, D, H, H, H, D, D, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, H, H, H, D, H, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, D, H, B, G, B, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, G, B, B, D, B, B, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, G, H, G, H, D, H, B, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, G, G, D, B, B, B, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, G, D, G, B, D, B, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, B, B, H, H, H, G, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, G, B, D, H, H, G, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, G, H, H, D, D, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, H, H, D, D, D, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, D, H, D, D, D, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, D, H, D, B, H, D, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, G, D, H, D, D, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, D, H, D, H, D, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, B, B, D, G, D, D, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, H, G, D, H, D, H, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, G, G, G, B, G, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, G, B, H, H, H, B, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, B, H, H, H, G, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, B, H, B, D, D, B, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, G, H, H, H, G, H, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, B, D, H, B, G, B, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, H, D, H, B, H, G, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, D, H, H, B, H, D, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, H, H, D, H, D, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, G, D, B, D, B, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, H, G, D, B, B, B, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, G, D, B, B, B, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, D, H, G, B, B, B, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, B, B, G, D, D, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, D, B, D, G, D, D, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, D, H, H, B, B, H, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, B, B, B, B, G, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, D, H, B, B, D, G, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, H, H, G, H, H, G, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, D, H, B, D, B, H, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, B, G, G, D, G, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, B, G, D, B, H, H, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, B, B, G, B, B, H, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, G, G, H, D, B, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, G, D, B, B, D, G, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, D, H, G, B, B, H, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, D, H, B, B, D, H, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, D, H, G, D, D, G, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, G, G, H, H, H, B, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, G, G, D, G, B, D, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, D, B, G, H, G, B, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, D, B, G, H, G, B, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, D, D, D, D, H, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, G, B, G, B, D, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, D, D, D, B, D, H, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, H, G, H, D, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, G, B, D, B, D, G, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, H, H, B, D, B, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, H, G, D, D, G, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, B, H, G, D, D, H, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, G, G, B, D, B, D, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, D, H, B, D, D, G, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, B, H, B, B, B, G, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, G, B, H, G, B, G, H, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, G, B, G, B, H, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, H, D, B, D, G, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, B, H, B, D, H, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, G, D, H, G, B, D, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, H, D, G, D, D, G, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, G, H, G, B, G, D, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, G, G, H, D, B, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, H, H, B, G, G, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, D, D, D, B, D, H, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, G, B, H, B, H, B, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, B, H, H, G, D, G, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, D, G, D, B, B, G, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, H, B, D, G, B, G, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, G, B, H, B, H, B, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, G, B, H, G, H, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, B, G, H, G, G, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, B, G, H, D, D, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, H, G, D, H, D, B, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, B, G, H, D, D, G, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, D, G, H, D, D, G, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, B, B, G, G, D, G, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, B, H, D, B, G, G, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, G, H, D, B, D, D, G, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, D, G, G, H, B, B, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, H, B, B, G, D, G, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, H, H, H, H, D, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, B, D, H, G, G, H, G, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, B, B, H, D, D, G, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, D, D, H, D, D, B, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, D, D, D, D, D, B, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, H, B, D, B, B, G, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, H, G, G, B, G, D, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, G, D, D, D, D, B, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, G, D, G, D, D, B, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, G, B, B, D, B, H, G, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, H, B, G, B, H, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, H, D, G, H, H, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, H, G, G, H, H, H, B, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, B, G, G, B, H, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, B, G, G, B, H, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, B, H, B, G, H, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, G, D, B, B, G, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, D, G, D, B, B, G, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, H, D, G, G, B, H, D, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, H, H, H, D, G, D, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, D, B, H, G, H, G, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, B, B, H, B, D, H, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, H, B, B, G, D, D, H, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, D, H, G, D, D, B, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, H, G, D, G, B, D, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, D, H, G, D, D, H, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, D, G, H, H, H, G, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, G, G, D, G, B, D, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, H, G, G, B, G, D, D, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, G, H, H, G, B, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, D, B, H, B, G, D, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, G, G, D, G, B, H, B, H, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, H, D, G, B, H, D, H, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, H, B, G, B, B, H, H, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, B, B, B, B, B, H, G, B, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, H, G, G, D, H, B, B, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, G, H, G, H, D, G, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, B, B, H, B, D, G, G, H, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[H, D, H, G, B, B, H, H, G, B]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, B, B, D, G, B, D, G, D, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[G, D, H, H, D, D, G, G, G, D]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, D, B, D, H, D, G, H, B, G]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, D, D, B, D, G, D, G, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[B, D, G, D, H, G, B, D, H, H]
c1951321-d0d6-4db3-b624-deb2ee7f02bf:[D, G, H, B, B, B, G, D, H, G]
